session_id,timestamp_sec,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,speed_kmh
190_23rd_St-2026-04-09_01-22-17,0.0,0.2148633785165846,0.113867786720395,0.1632329983919858,0.0439784564077854,-0.2395967543125152,0.1640301048755645,0.0
190_23rd_St-2026-04-09_01-22-17,0.0099619140625,0.0626556320078671,0.0744458769142627,0.2775005980849266,0.00843271240592,-0.1902569085359573,0.1877018809318542,0.0
190_23rd_St-2026-04-09_01-22-17,0.019924072265625002,0.0858998756036162,0.0764805976122617,0.2807587230980396,-0.0364117436110973,-0.1229955852031707,0.2109848707914352,0.0
190_23rd_St-2026-04-09_01-22-17,0.029885986328124996,-0.0728619687236845,0.0594441226154565,0.1304787297815084,-0.073636345565319,-0.0635351911187172,0.2264509201049804,0.0
190_23rd_St-2026-04-09_01-22-17,0.039848876953124994,-0.140380822853744,0.0571650717675685,0.0727215373396873,-0.0975962504744529,-0.0142030334100127,0.2339082211256027,0.0
190_23rd_St-2026-04-09_01-22-17,0.049811279296875004,-0.2197206092894077,0.055144379594922,0.0186123460114002,-0.1070115864276886,0.025666618719697,0.2313097715377807,0.0
190_23rd_St-2026-04-09_01-22-17,0.05977294921875,-0.2697267492130398,0.0544312628895044,-0.0579097526550293,-0.1055225804448127,0.0473248101770877,0.215309664607048,0.0
190_23rd_St-2026-04-09_01-22-17,0.069735107421875,-0.2630573544517159,0.0497585949033498,-0.053529345613718,-0.0852838903665542,0.0572394914925098,0.1941545754671096,0.0
190_23rd_St-2026-04-09_01-22-17,0.07969702148437499,-0.2467978551767766,0.063273910036683,-0.1787713437855243,-0.0429632142186164,0.0495057813823223,0.1735224723815918,0.0
190_23rd_St-2026-04-09_01-22-17,0.08965893554687498,-0.2301853046804666,0.0617021306753158,-0.1750356643885374,0.0119399800896644,0.0266060587018728,0.1503931879997253,0.0
190_23rd_St-2026-04-09_01-22-17,0.09962182617187498,-0.2236551722593605,0.0670066668242216,-0.1773480329841375,0.0654643774032592,0.0001007362734526,0.1361351162195205,0.0
190_23rd_St-2026-04-09_01-22-17,0.10958422851562499,-0.136494044548273,-0.0293687178254127,0.003258125013113,0.1068680137395858,-0.020142750814557,0.1304114609956741,0.0
190_23rd_St-2026-04-09_01-22-17,0.11954589843749999,-0.1274511986538767,-0.0178448687702417,-0.0027776480197906,0.1299028843641281,-0.0295318663120269,0.1310949772596359,0.0
190_23rd_St-2026-04-09_01-22-17,0.12950805664062498,-0.1023819315880537,-0.1485994928836822,0.1824766280442476,0.1349485069513321,-0.0299627669155597,0.1278872042894363,0.0
190_23rd_St-2026-04-09_01-22-17,0.13947021484375,-0.1318213765621185,-0.2037543938726186,0.214663910421729,0.1243817582726478,-0.0381068363785743,0.1232832372188568,0.0
190_23rd_St-2026-04-09_01-22-17,0.149432861328125,-0.1602571974515914,-0.2577799985706806,0.2319102287769317,0.1005970686674118,-0.0466366745531559,0.110360249876976,0.0
190_23rd_St-2026-04-09_01-22-17,0.15939501953125,-0.1649757504060864,-0.2527875971108675,0.1939338416039943,0.0677279084920883,-0.0572777576744556,0.0950776487588882,0.0
190_23rd_St-2026-04-09_01-22-17,0.169357177734375,-0.1553396147936582,-0.2476625091820955,0.1921954735040664,0.0286180526018142,-0.063413418829441,0.0824896842241287,0.0
190_23rd_St-2026-04-09_01-22-17,0.17931884765625,-0.2254202822357416,-0.2539654087185859,0.0436234531491994,-0.0065445210784673,-0.057097390294075,0.0738974437117576,0.0
190_23rd_St-2026-04-09_01-22-17,0.189281005859375,-0.2173940660379827,-0.2543675597786903,0.0453249963700771,-0.0273483358323574,-0.0453776195645332,0.0687247887253761,0.0
190_23rd_St-2026-04-09_01-22-17,0.1992431640625,-0.3180696320995688,-0.1821621552675962,-0.1572258669316768,-0.0246028508991003,-0.0278385411947965,0.0616729073226451,0.0
190_23rd_St-2026-04-09_01-22-17,0.2092060546875,-0.344086116887629,-0.1721300060749054,-0.1913707131177187,-0.0066198552958667,-0.0079945297911763,0.0444489158689975,0.0
190_23rd_St-2026-04-09_01-22-17,0.21916796874999997,-0.3421630398705601,-0.1712713434189557,-0.1916150432676076,0.0169288627803325,0.00346983037889,0.0228001251816749,0.0
190_23rd_St-2026-04-09_01-22-17,0.22913012695312499,-0.3237197668157517,-0.2075496945023536,-0.1537842020452022,0.0407796017825603,0.0096992310136556,-0.0022509000264108,0.0
