session_id,timestamp_sec,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,speed_kmh
112_Corbin_Ave-2026-04-09_01-07-42,0.0,0.0185899149838834,-0.1300070206165313,0.8166928152263164,-0.0447946935892105,-0.0834584161639213,-0.0482747331261634,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.010048828125000006,-0.0247643658351153,-0.1013660325437784,0.8142962754786014,-0.1601341664791107,-0.1651553213596344,-0.0827901735901832,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.020097900390625006,-0.0634658524122089,-0.0600327361583709,0.6788812583386897,-0.243734523653984,-0.225368320941925,-0.1164434701204299,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.030146972656250007,-0.0579934123504906,0.0584568651437759,0.4069716121286154,-0.2792128026485443,-0.2727575004100799,-0.1431147009134292,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.04019604492187501,-0.05864267003946,0.1587526381075382,0.1780418604671955,-0.2659111022949219,-0.311530739068985,-0.1693436354398727,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.05024487304687501,-0.0468707645073533,0.2389326747596263,-0.038993455260992,-0.2134322673082351,-0.3088336586952209,-0.1865474730730056,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.0602939453125,-0.0627982553489506,0.2943079405009746,-0.2427829204469919,-0.1253069341182708,-0.2624081075191498,-0.2000699341297149,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.07034301757812501,-0.0791957748550921,0.3122819886088371,-0.3760404672920703,-0.0180224571377038,-0.1917770951986313,-0.2107943445444107,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.080391845703125,-0.0838172971758991,0.3163251265197992,-0.3796837922304868,0.0907429009675979,-0.1065791249275207,-0.2154109328985214,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.09044116210937501,0.0086463939227163,0.2347901681274175,-0.034433599999547,0.172880008816719,-0.0416951589286327,-0.2096876800060272,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.100489990234375,0.1026969888865947,0.1667898140907287,0.266800340372324,0.2157579660415649,-0.0326734334230423,-0.1996081471443176,0.0
112_Corbin_Ave-2026-04-09_01-07-42,0.110538818359375,0.0919219854373484,0.1831990970999002,0.250983178037405,0.2190985977649688,-0.0476816929876804,-0.1806562542915344,0.0
